time_stamp,pm25
20/07/2023 00:04,12.4
20/07/2023 01:04,13
20/07/2023 02:04,13
20/07/2023 03:04,12.9
20/07/2023 04:01,12.8
20/07/2023 05:01,12.8
20/07/2023 06:01,13.5
20/07/2023 07:01,14.3
20/07/2023 08:01,14.7
20/07/2023 09:00,15.8
20/07/2023 10:01,17.4
20/07/2023 11:01,19.8
20/07/2023 12:00,22.5
20/07/2023 13:04,23
20/07/2023 14:01,20.2
20/07/2023 15:03,17
20/07/2023 16:01,14.4
20/07/2023 17:01,12
20/07/2023 18:02,9.4
20/07/2023 19:01,7.8
20/07/2023 20:01,7
20/07/2023 21:01,7.8
20/07/2023 22:00,8
20/07/2023 23:03,8.2
21/07/2023 00:02,8.7
21/07/2023 01:02,9.2
21/07/2023 02:00,9.3
21/07/2023 03:00,9.4
21/07/2023 04:01,10.2
21/07/2023 05:00,11.2
21/07/2023 06:00,12.2
21/07/2023 07:00,13
21/07/2023 08:02,14.6
21/07/2023 09:04,15.8
21/07/2023 10:01,16.7
21/07/2023 11:02,18.1
21/07/2023 12:01,19.8
21/07/2023 13:01,19.8
21/07/2023 14:01,17.7
21/07/2023 15:00,15.2
21/07/2023 16:03,13.4
21/07/2023 17:01,12.2
21/07/2023 18:00,10.4
21/07/2023 19:00,8.1
21/07/2023 20:04,6.9
21/07/2023 21:02,6.5
21/07/2023 22:02,7.1
21/07/2023 23:00,7.9
22/07/2023 00:01,8.6
22/07/2023 01:00,8.8
22/07/2023 02:00,9.1
22/07/2023 03:02,9.4
22/07/2023 04:00,9.8
22/07/2023 05:00,10.8
22/07/2023 06:01,12.8
22/07/2023 07:04,15
22/07/2023 08:01,16.9
22/07/2023 09:01,19
22/07/2023 10:02,20.6
22/07/2023 11:01,20.6
22/07/2023 12:04,22.4
22/07/2023 13:02,22.3
22/07/2023 14:04,18
22/07/2023 15:00,15.5
22/07/2023 16:04,13.8
22/07/2023 17:00,13.6
22/07/2023 18:04,13.5
22/07/2023 19:01,13.2
22/07/2023 20:02,12.2
22/07/2023 21:00,11.4
22/07/2023 22:04,11.4
22/07/2023 23:03,10.6
23/07/2023 00:00,9.2
23/07/2023 01:00,8.2
23/07/2023 02:04,7.4
23/07/2023 03:04,6.8
23/07/2023 04:04,7.2
23/07/2023 05:04,7
23/07/2023 06:01,7.4
